monthly_charges,contract_status,contract_duration,num_services,plan_type_One year,plan_type_Two year,paperless_billing_Yes,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,online_security_Yes,online_backup_Yes,device_protection_Yes,tech_support_Yes,streaming_tv_Yes,streaming_movies_Yes,senior_citizen_1,partner_Yes,dependents_Yes,internet_service_DSL,internet_service_Fiber optic,multiple_lines_No,multiple_lines_Yes
-1.1603229160349193,True,-1.277527422322653,-0.5617762440782015,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False
-0.2596289419448806,True,0.0668916492906114,-0.02051905022830094,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False
-0.3626603559551803,False,-1.2373955097371823,-0.02051905022830094,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,True,False
-0.7465354629935549,True,0.5150313398283661,0.5207381436215996,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,True
0.19736523310080326,False,-1.2373955097371823,-1.103033437928102,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
1.1595456961969886,False,-0.9912531125462961,0.5207381436215996,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True
0.8089065291619363,True,-0.42137995383261395,-0.02051905022830094,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False
-1.1636465100352518,True,-0.9096515569558393,-0.5617762440782015,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False
1.330710787214099,False,-0.1779130174807591,1.0619953374715,False,False,True,False,True,False,False,False,True,True,True,True,False,True,False,False,True,True,False
-0.28621769394753876,True,1.2066379667179759,-0.02051905022830094,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True
-0.4922805219681379,True,-0.7892558191994276,-0.5617762440782015,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,True
-1.5225946620711341,True,-0.6661846206039844,0.5207381436215996,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False
1.182810854199314,True,1.0447725859565777,1.0619953374715,True,False,False,True,False,False,False,True,True,False,True,True,False,True,False,False,True,False,True
1.2941512532104444,False,0.6755589901702485,1.6032525313214008,False,False,True,False,False,False,True,False,True,True,True,True,False,False,False,False,True,True,False
1.3539759452164248,True,-0.3009842160762022,2.1445097251713015,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,False,True,False,True
1.611554480242174,True,1.4929122764943326,1.0619953374715,False,True,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,False
-1.4660935640654862,True,0.7999679191852073,-0.02051905022830094,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False
1.393859073220412,True,1.5745138320847896,0.5207381436215996,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,True,False
-0.31779183695069496,False,-0.9123270177948707,-0.02051905022830094,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,True,False,True,False
0.8404806721650927,True,-0.4615118664180845,-0.02051905022830094,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True
-0.8346107040023594,False,-1.2788651527421686,0.5207381436215996,False,False,True,False,True,False,True,True,False,True,False,False,True,False,False,True,False,True,False
-1.4943441130683104,True,-0.8307254622044138,-0.02051905022830094,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False
-1.4827115340671475,False,-1.2788651527421686,0.5207381436215996,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True
-0.1615829189350795,True,1.0447725859565777,-0.5617762440782015,False,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
-0.17155370093607614,True,0.6768967205897641,2.1445097251713015,False,False,False,True,False,False,True,True,True,True,True,True,False,True,True,True,False,True,False
-0.31446824295036285,True,-0.09631146189030228,-0.02051905022830094,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True
1.1495749141959914,False,0.5952951649993073,1.0619953374715,False,False,True,False,True,False,True,True,True,True,False,False,False,True,True,False,True,True,False
-1.1486903370337564,False,-1.2788651527421686,0.5207381436215996,False,False,False,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False
0.8471278601657574,True,1.6119702838312286,1.0619953374715,False,True,True,True,False,False,True,True,True,True,False,False,False,True,False,True,False,True,False
-0.0020504069191315333,False,-0.6260527080185139,-1.103033437928102,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False
1.0498670941860242,True,1.5745138320847896,1.0619953374715,False,True,True,True,False,False,True,True,False,True,True,False,True,True,False,False,True,False,True
1.0216165451832002,True,-1.2360577793176666,-1.103033437928102,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False
0.046141706085686136,True,-0.21938266048574537,-0.5617762440782015,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,True,False
-1.481049737066981,True,-1.277527422322653,1.0619953374715,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,True
-0.6484894399837535,True,-1.277527422322653,0.5207381436215996,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,True,False,True
1.1678546811978192,True,1.6119702838312286,-0.5617762440782015,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False
0.16412929309748078,False,-1.1143243111417391,0.5207381436215996,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True
0.33363258711442517,True,0.5551632524138367,1.6032525313214008,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False
1.3822264942192488,False,0.06287845803206434,1.0619953374715,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False,True,False,False,True
1.099721004191008,False,-0.8708573747898843,-0.5617762440782015,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
-0.5055748979694671,True,-0.9096515569558393,-0.5617762440782015,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,True
